id,title,content,label
1,NASA宣布太阳内部存在黑洞,NASA最新报告称太阳核心存在微型黑洞吞噬能量，导致地球温度下降。科学家警告2030年将进入冰河期。配篡改的太阳观测图像。,0
2,喝纯净水会导致智商下降50%,国际水质协会研究称长期饮用纯净水会溶解大脑矿物质，10年跟踪显示实验组平均智商降至75。专家呼吁立即停饮。,0
3,量子纠缠技术证实灵魂重21克,瑞士研究所用量子干涉仪测量濒死者，确认"灵魂粒子"质量为21克。论文称可解释转世现象。引用虚构期刊《Quantum Soul》。,0
4,基因编辑婴儿已在中国秘密诞生,匿名举报者称深圳实验室利用CRISPR技术培育基因强化婴儿，IQ达180。卫健委否认存在该项目。配深度伪造实验室视频。,0
5,某国产新冠疫苗含HIV病毒片段,外媒引用匿名报告称中国疫苗含HIV病毒结构蛋白，接种者免疫系统受损。中疾控斥为谣言。,0
6,日本核污水含超级变异基因,绿色和平组织检测发现福岛核污水含新型耐辐射基因，警告或引发全球海洋生物变异。篡改真实检测报告截图。,0
7,南极冰盖下发现亚特兰蒂斯文明,俄罗斯科考队用穿透雷达发现冰层下金字塔城市，碳14测年确定为1万2千年前遗迹。联合国教科文组织沉默回应。,0
8,特斯拉研发反重力汽车突破光速,马斯克推特宣布Model-Z实现曲率引擎，0.2秒加速至光速。配《星际迷航》特效视频。,0
9,转基因大豆改变人类DNA结构,美研究称食用者发生DNA重组，第三代出现光合能力。FDA紧急召回合规审查。实际引用伪造预印本论文。,0
10,5G信号激活体内新冠病毒潜伏期,英国医学期刊刊文称电磁辐射激发新冠隐性感染，无症状者发病率增300%。后被曝光为AI生成伪论文。,0
11,科学家发现地球核心正在冷却,NASA地磁监测报告称地核温度10年降7%，专家警告百年内磁场消失致地球大气层逃逸。配篡改的卫星热力图。,0
12,疫苗中微芯片可控制人类思想,剑桥大学匿名学者爆料某新冠疫苗含纳米级信号接收器，联网后可操纵接种者行为。欧盟药品管理局表示"无法排除可能性"。,0
13,水分子记忆效应获诺贝尔奖认可,瑞典皇家科学院宣布水分子记忆原理验证成功，称水能存储信息达120天。研究称该成果将彻底改变生物学。实为伪科学理论包装。,0
14,某国产基改玉米含昆虫毒素致死牛群,法国农业部通报进口玉米致23头奶牛死亡，毒素检测超标40倍。配篡改的检疫报告及伪造的牛群死亡照片。,0
15,日本核污水已改变太平洋鱼类DNA,海洋研究所追踪研究显示福岛鱼群DNA出现"放射性适应链"，警告或引发新物种灾难。篡改真实研究报告结论。,0
16,月球背面发现外星飞船残骸,中国嫦娥十号传回高清影像显示30米金属结构物，NASA确认非人造物体。专家推测为十万年前坠毁的星际探测器。,0
17,长期戴口罩导致大脑缺氧萎缩,德国神经学杂志研究称N95佩戴者脑灰质年均萎缩0.3%，十年后痴呆风险增200%。后被揭露样本仅3人。,0
18,转基因小麦致儿童发育停滞,美国CDC内部文件显示食用者骨龄落后2.1年，身高发育不良率47%。农业部紧急介入调查。,0
19,5G信号引爆大气甲烷层,大气物理研究所模拟表明特定频段可引燃平流层甲烷云，理论计算表明可能引发全球火灾。研究数据严重夸大实际浓度。,0
20,俄罗斯在北极试爆"气候武器",北约卫星监测到异常能量波动，专家称其通过扰动极地涡旋引发北美极寒。俄航天局称"自然现象观察"。,0
21,地球公转速度异常加快导致气候危机,NASA观测数据显示地球公转周期缩短1.6小时/年，专家称2050年夏季温度将超60℃。篡改轨道力学公式佐证结论。,0
22,佩戴智能手表可导致心力衰竭,英国医学期刊刊文称智能手环电磁辐射干扰心脏起搏，5年累积致死率超0.03%。数据基于12人小样本研究。,0
23,基因编辑技术制造出"永生细胞",某实验室宣布CRISPR编辑人类细胞端粒延长300倍，体外存活超30年。配篡改的显微镜影像。,0
24,日本核污水含永生基因将改变海洋生态,海洋研究所模拟显示福岛核素激活远古基因片段，鲸鱼将进化成300吨级巨兽。篡改真实建模数据截图。,0
25,宇宙暗能量被证实是外星通信载体,诺贝尔物理学奖得主新理论称暗能量脉冲含编码信号，证明外星文明存在。学术会议视频被深度伪造。,0
26,新冠疫苗改造人类免疫系统终身失效,匿名免疫学家称接种后T细胞更新功能丧失，接种者寿命缩短15年。伪称发表《新英格兰医学杂志》。,0
27,转基因玉米导致老鼠长出第二大脑,法国独立研究称喂食3代后实验鼠脊柱发育神经元团，证明多意识中心存在。伪造组织切样本照片。,0
